dstport,protocol,tag
21921,tcp,sv_P1
46800,udp,sv_P2
31625,icmp,sv_P3
59841,tcp,sv_P4
17797,udp,sv_P5
25913,icmp,sv_P6
60536,tcp,sv_P7
28737,udp,sv_P8
20637,icmp,sv_P9
39165,tcp,sv_P10
24509,udp,sv_P11
12273,icmp,sv_P12
46809,tcp,sv_P13
56217,udp,sv_P14
54623,icmp,sv_P15
19558,tcp,sv_P16
45626,udp,sv_P17
53755,icmp,sv_P18
50529,tcp,sv_P19
38871,udp,sv_P20
16358,icmp,sv_P21
52104,tcp,sv_P22
31678,udp,sv_P23
60459,icmp,sv_P24
45996,tcp,sv_P25
19638,udp,sv_P26
50202,icmp,sv_P27
16723,tcp,sv_P28
23731,udp,sv_P29
51328,icmp,sv_P30
4802,tcp,sv_P31
64363,udp,sv_P32
64921,icmp,sv_P33
55623,tcp,sv_P34
14212,udp,sv_P35
47978,icmp,sv_P36
1477,tcp,sv_P37
15846,udp,sv_P38
7774,icmp,sv_P39
32594,tcp,sv_P40
14440,udp,sv_P41
59736,icmp,sv_P42
15675,tcp,sv_P43
23239,udp,sv_P44
14164,icmp,sv_P45
59014,tcp,sv_P46
23964,udp,sv_P47
25361,icmp,sv_P48
1451,tcp,sv_P49
32155,udp,sv_P50
10717,icmp,sv_P51
12083,tcp,sv_P52
28656,udp,sv_P53
43313,icmp,sv_P54
61389,tcp,sv_P55
54308,udp,sv_P56
54181,icmp,sv_P57
2610,tcp,sv_P58
50321,udp,sv_P59
47425,icmp,sv_P60
17479,tcp,sv_P61
53145,udp,sv_P62
7800,icmp,sv_P63
61595,tcp,sv_P64
52965,udp,sv_P65
30345,icmp,sv_P66
47798,tcp,sv_P67
26209,udp,sv_P68
44661,icmp,sv_P69
22658,tcp,sv_P70
39373,udp,sv_P71
3284,icmp,sv_P72
55636,tcp,sv_P73
52412,udp,sv_P74
2625,icmp,sv_P75
18221,tcp,sv_P76
29097,udp,sv_P77
58886,icmp,sv_P78
59038,tcp,sv_P79
12163,udp,sv_P80
34280,icmp,sv_P81
28848,tcp,sv_P82
59869,udp,sv_P83
9396,icmp,sv_P84
53203,tcp,sv_P85
56168,udp,sv_P86
1720,icmp,sv_P87
22028,tcp,sv_P88
33692,udp,sv_P89
31961,icmp,sv_P90
44748,tcp,sv_P91
16855,udp,sv_P92
21407,icmp,sv_P93
57062,tcp,sv_P94
13507,udp,sv_P95
657,icmp,sv_P96
21038,tcp,sv_P97
59323,udp,sv_P98
45276,icmp,sv_P99
18671,tcp,sv_P100
38737,udp,sv_P101
55199,icmp,sv_P102
24679,tcp,sv_P103
41186,udp,sv_P104
21788,icmp,sv_P105
45442,tcp,sv_P106
58362,udp,sv_P107
51014,icmp,sv_P108
51644,tcp,sv_P109
15263,udp,sv_P110
4637,icmp,sv_P111
9356,tcp,sv_P112
32685,udp,sv_P113
460,icmp,sv_P114
40258,tcp,sv_P115
21494,udp,sv_P116
45657,icmp,sv_P117
50211,tcp,sv_P118
24979,udp,sv_P119
1295,icmp,sv_P120
31958,tcp,sv_P121
32932,udp,sv_P122
26635,icmp,sv_P123
